"department","year","rd_budget","total_outlays","discretionary_outlays","gdp"
"NIH",2013,3.0522e+10,3.4546e+12,1.2022e+12,1.6516e+13
"NSF",2013,5.739e+09,3.4546e+12,1.2022e+12,1.6516e+13
"USDA",2013,2.279e+09,3.4546e+12,1.2022e+12,1.6516e+13
"Interior",2013,8.46e+08,3.4546e+12,1.2022e+12,1.6516e+13
"DOT",2013,8.81e+08,3.4546e+12,1.2022e+12,1.6516e+13
"EPA",2013,5.7e+08,3.4546e+12,1.2022e+12,1.6516e+13
"DOC",2013,1.397e+09,3.4546e+12,1.2022e+12,1.6516e+13
"DHS",2013,7.37e+08,3.4546e+12,1.2022e+12,1.6516e+13
"VA",2013,1.253e+09,3.4546e+12,1.2022e+12,1.6516e+13
"Other",2013,1.846e+09,3.4546e+12,1.2022e+12,1.6516e+13
"DOD",2014,7.0341e+10,3.5061e+12,1.1786e+12,1.7244e+13
"NASA",2014,1.2432e+10,3.5061e+12,1.1786e+12,1.7244e+13
"DOE",2014,1.2686e+10,3.5061e+12,1.1786e+12,1.7244e+13
"HHS",2014,3.2438e+10,3.5061e+12,1.1786e+12,1.7244e+13
"NIH",2014,3.0938e+10,3.5061e+12,1.1786e+12,1.7244e+13
"NSF",2014,6.135e+09,3.5061e+12,1.1786e+12,1.7244e+13
"USDA",2014,2.517e+09,3.5061e+12,1.1786e+12,1.7244e+13
"Interior",2014,8.89e+08,3.5061e+12,1.1786e+12,1.7244e+13
"DOT",2014,8.43e+08,3.5061e+12,1.1786e+12,1.7244e+13
"EPA",2014,5.69e+08,3.5061e+12,1.1786e+12,1.7244e+13
"DOC",2014,1.641e+09,3.5061e+12,1.1786e+12,1.7244e+13
"DHS",2014,1.092e+09,3.5061e+12,1.1786e+12,1.7244e+13
"VA",2014,1.165e+09,3.5061e+12,1.1786e+12,1.7244e+13
"Other",2014,1.697e+09,3.5061e+12,1.1786e+12,1.7244e+13
"DOD",2015,6.9522e+10,3.6884e+12,1.1687e+12,1.7983e+13
"NASA",2015,1.1927e+10,3.6884e+12,1.1687e+12,1.7983e+13
"DOE",2015,1.5033e+10,3.6884e+12,1.1687e+12,1.7983e+13
"HHS",2015,3.1537e+10,3.6884e+12,1.1687e+12,1.7983e+13
"NIH",2015,3.0046e+10,3.6884e+12,1.1687e+12,1.7983e+13
"NSF",2015,6.26e+09,3.6884e+12,1.1687e+12,1.7983e+13
"USDA",2015,2.565e+09,3.6884e+12,1.1687e+12,1.7983e+13
"Interior",2015,9.03e+08,3.6884e+12,1.1687e+12,1.7983e+13
"DOT",2015,9.26e+08,3.6884e+12,1.1687e+12,1.7983e+13
"EPA",2015,5.44e+08,3.6884e+12,1.1687e+12,1.7983e+13
"DOC",2015,1.596e+09,3.6884e+12,1.1687e+12,1.7983e+13
"DHS",2015,9.6e+08,3.6884e+12,1.1687e+12,1.7983e+13
"VA",2015,1.231e+09,3.6884e+12,1.1687e+12,1.7983e+13
"Other",2015,1.558e+09,3.6884e+12,1.1687e+12,1.7983e+13
"DOD",2016,7.5213e+10,3.8526e+12,1.1852e+12,1.847e+13
"NASA",2016,1.3713e+10,3.8526e+12,1.1852e+12,1.847e+13
"DOE",2016,1.5504e+10,3.8526e+12,1.1852e+12,1.847e+13
"HHS",2016,3.3121e+10,3.8526e+12,1.1852e+12,1.847e+13
"NIH",2016,3.1675e+10,3.8526e+12,1.1852e+12,1.847e+13
"NSF",2016,6.222e+09,3.8526e+12,1.1852e+12,1.847e+13
"USDA",2016,2.745e+09,3.8526e+12,1.1852e+12,1.847e+13
"Interior",2016,1.005e+09,3.8526e+12,1.1852e+12,1.847e+13
"DOT",2016,9.1e+08,3.8526e+12,1.1852e+12,1.847e+13
"EPA",2016,5.3e+08,3.8526e+12,1.1852e+12,1.847e+13
"DOC",2016,1.73e+09,3.8526e+12,1.1852e+12,1.847e+13
"DHS",2016,6.02e+08,3.8526e+12,1.1852e+12,1.847e+13
"VA",2016,1.262e+09,3.8526e+12,1.1852e+12,1.847e+13
"Other",2016,1.653e+09,3.8526e+12,1.1852e+12,1.847e+13
"DOD",2017,5.1862e+10,3.9816e+12,1.2002e+12,1.9177e+13
"NASA",2017,1.2361e+10,3.9816e+12,1.2002e+12,1.9177e+13
"DOE",2017,1.5032e+10,3.9816e+12,1.2002e+12,1.9177e+13
"HHS",2017,3.4758e+10,3.9816e+12,1.2002e+12,1.9177e+13
"NIH",2017,3.3052e+10,3.9816e+12,1.2002e+12,1.9177e+13
"NSF",2017,6.04e+09,3.9816e+12,1.2002e+12,1.9177e+13
"USDA",2017,2.625e+09,3.9816e+12,1.2002e+12,1.9177e+13
"Interior",2017,9.55e+08,3.9816e+12,1.2002e+12,1.9177e+13
"DOT",2017,9.36e+08,3.9816e+12,1.2002e+12,1.9177e+13
"EPA",2017,5.06e+08,3.9816e+12,1.2002e+12,1.9177e+13
"DOC",2017,1.824e+09,3.9816e+12,1.2002e+12,1.9177e+13
"DHS",2017,7.35e+08,3.9816e+12,1.2002e+12,1.9177e+13
"VA",2017,1.367e+09,3.9816e+12,1.2002e+12,1.9177e+13
"Other",2017,1.553e+09,3.9816e+12,1.2002e+12,1.9177e+13
