station_id,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging,eightd_has_key_dispenser,eightd_station_services,has_kiosk
26,0b1009b3-08f3-11e7-a1cb-3863bb33a4e4,de Maisonneuve / Mansfield (sud),6027,45.502053864057466,-73.57346534729004,"['CREDITCARD', 'KEY']",27,False,False,False,,True
28,0b100caa-08f3-11e7-a1cb-3863bb33a4e4,Irene / St-Jacques,6029,45.480133002114904,-73.58393132686615,"['CREDITCARD', 'KEY']",19,False,False,False,,True
30,0b100f80-08f3-11e7-a1cb-3863bb33a4e4,St-Antoine / St-François-Xavier,6031,45.50459069556304,-73.55918794870377,"['CREDITCARD', 'KEY']",18,False,False,False,,True
31,0b1010e4-08f3-11e7-a1cb-3863bb33a4e4,Métro Place-d'Armes (Viger / St-Urbain),6032,45.50631445605528,-73.55967122894072,"['CREDITCARD', 'KEY']",29,False,False,False,,True
34,0b101537-08f3-11e7-a1cb-3863bb33a4e4,Viger / Chenneville,6035,45.50531166520915,-73.56089115142822,"['CREDITCARD', 'KEY']",38,False,False,False,,True
35,0b101691-08f3-11e7-a1cb-3863bb33a4e4,de la Commune / St-Sulpice,6036,45.50424245563397,-73.553469479084,"['CREDITCARD', 'KEY']",43,False,False,False,,True
36,0b1017ec-08f3-11e7-a1cb-3863bb33a4e4,St-Nicolas / Place d'Youville,6037,45.501966859101564,-73.55515256524086,"['CREDITCARD', 'KEY']",23,False,False,False,,True
37,0b101966-08f3-11e7-a1cb-3863bb33a4e4,Place d'Youville / McGill,6038,45.49996470926352,-73.55615437030792,"['CREDITCARD', 'KEY']",19,False,False,False,,True
38,0b101acc-08f3-11e7-a1cb-3863bb33a4e4,des Récollets / McGill,6039,45.5008764952487,-73.55900555849075,"['CREDITCARD', 'KEY']",23,False,False,False,,True
39,0b101c22-08f3-11e7-a1cb-3863bb33a4e4,St-Jacques / St-Pierre,6040,45.50278649802565,-73.55913430452347,"['CREDITCARD', 'KEY']",23,False,False,False,,True
40,0b101d77-08f3-11e7-a1cb-3863bb33a4e4,St-Jacques / McGill,6041,45.50144108135568,-73.56014415621758,"['CREDITCARD', 'KEY']",27,False,False,False,,True
41,0b101ed0-08f3-11e7-a1cb-3863bb33a4e4,de la Gauchetière / Robert-Bourassa,6042,45.50060578095098,-73.56544822454453,"['CREDITCARD', 'KEY']",27,False,False,False,,True
43,0b1021af-08f3-11e7-a1cb-3863bb33a4e4,Roy / St-André,6044,45.521564270906616,-73.57036739587784,"['CREDITCARD', 'KEY']",23,False,False,False,,True
45,0b10246c-08f3-11e7-a1cb-3863bb33a4e4,Métro Bonaventure (de la Gauchetière / de la Cathédrale),6046,45.49831217703312,-73.56725603342056,"['CREDITCARD', 'KEY']",31,False,False,False,,True
46,0b1025c4-08f3-11e7-a1cb-3863bb33a4e4,Milton / Durocher,6204,45.508140959417744,-73.57492983341217,"['CREDITCARD', 'KEY']",27,False,False,False,,True
47,0b10272a-08f3-11e7-a1cb-3863bb33a4e4,William / St-Henri,6048,45.49891911390352,-73.55725407600403,"['CREDITCARD', 'KEY']",15,False,False,False,,True
48,0b102b66-08f3-11e7-a1cb-3863bb33a4e4,Queen / Wellington,6049,45.49760527699099,-73.55534970760345,"['CREDITCARD', 'KEY']",47,False,False,False,,True
49,0b102c87-08f3-11e7-a1cb-3863bb33a4e4,St-Maurice / Robert-Bourassa,6050,45.498577791020146,-73.56024205684662,"['CREDITCARD', 'KEY']",35,False,False,False,,True
50,0b102d8f-08f3-11e7-a1cb-3863bb33a4e4,Henri-Julien / de Bellechasse,6051,45.5315079142152,-73.60308364033699,"['CREDITCARD', 'KEY']",19,False,False,False,,True
