date,start_station_code,total_count,member_count,non_member_count
2014-06-30,5002,63,45,18
2014-06-30,5003,13,13,0
2014-06-30,5004,36,31,5
2014-06-30,5005,65,46,19
2014-06-30,5006,39,35,4
2014-06-30,5007,259,228,31
2014-06-30,6001,1352,825,527
2014-06-30,6002,616,543,73
2014-06-30,6003,350,323,27
2014-06-30,6004,1554,1130,424
2014-06-30,6005,1,1,0
2014-06-30,6006,333,208,125
2014-06-30,6007,1071,842,229
2014-06-30,6008,1045,839,206
2014-06-30,6009,2982,2358,624
2014-06-30,6011,835,801,34
2014-06-30,6012,4494,3607,887
2014-06-30,6013,944,768,176
2014-06-30,6014,1990,1490,500
2014-06-30,6015,2743,2266,477
2014-06-30,6017,476,437,39
2014-06-30,6018,1405,1264,141
2014-06-30,6019,1513,1302,211
2014-06-30,6020,1822,1454,368
2014-06-30,6021,1550,1383,167
2014-06-30,6022,818,767,51
2014-06-30,6023,1967,1147,820
2014-06-30,6024,556,529,27
2014-06-30,6025,715,431,284
2014-06-30,6026,2516,986,1530
2014-06-30,6027,795,712,83
2014-06-30,6029,489,479,10
2014-06-30,6031,991,657,334
2014-06-30,6032,2073,1342,731
2014-06-30,6033,273,255,18
2014-06-30,6034,3208,2560,648
2014-06-30,6035,385,279,106
2014-06-30,6036,2472,1291,1181
2014-06-30,6037,960,698,262
2014-06-30,6038,1575,1284,291
2014-06-30,6039,1616,1319,297
2014-06-30,6040,1135,838,297
2014-06-30,6041,1442,1319,123
2014-06-30,6042,1190,1038,152
2014-06-30,6043,1788,1549,239
2014-06-30,6044,2022,1886,136
2014-06-30,6046,1858,1713,145
2014-06-30,6047,1482,1362,120
2014-06-30,6048,994,924,70
2014-06-30,6049,1237,1177,60
2014-06-30,6050,2259,1214,1045
2014-06-30,6051,252,103,149
2014-06-30,6052,2533,1959,574
2014-06-30,6053,697,671,26
2014-06-30,6057,1387,1239,148
2014-06-30,6058,1227,1004,223
2014-06-30,6059,1990,1661,329
2014-06-30,6060,1295,1105,190
2014-06-30,6061,2251,1944,307
2014-06-30,6062,1231,969,262
2014-06-30,6063,2216,1769,447
2014-06-30,6064,5459,4607,852
2014-06-30,6065,1505,1208,297
2014-06-30,6066,1060,958,102
2014-06-30,6067,2356,2150,206
2014-06-30,6068,1520,1218,302
2014-06-30,6070,3037,2706,331
2014-06-30,6072,636,537,99
2014-06-30,6073,2130,1819,311
2014-06-30,6075,983,834,149
2014-06-30,6076,289,271,18
2014-06-30,6078,6077,5095,982
2014-06-30,6079,1565,1374,191
2014-06-30,6080,707,612,95
2014-06-30,6081,1049,959,90
2014-06-30,6082,340,313,27
2014-06-30,6083,2526,1984,542
2014-06-30,6084,1261,1139,122
2014-06-30,6085,1654,1390,264
2014-06-30,6086,1242,1021,221
2014-06-30,6087,1692,1463,229
2014-06-30,6088,1265,1121,144
2014-06-30,6089,452,413,39
2014-06-30,6090,689,640,49
2014-06-30,6091,633,561,72
2014-06-30,6092,788,644,144
2014-06-30,6093,683,578,105
2014-06-30,6094,1757,1639,118
2014-06-30,6095,2369,2070,299
2014-06-30,6096,509,460,49
2014-06-30,6097,2525,2286,239
2014-06-30,6098,1154,954,200
2014-06-30,6099,1955,1662,293
2014-06-30,6100,4423,3902,521
2014-06-30,6101,489,450,39
2014-06-30,6102,1135,1065,70
2014-06-30,6103,363,315,48
2014-06-30,6104,1620,1477,143
2014-06-30,6105,1025,936,89
2014-06-30,6106,812,710,102
2014-06-30,6107,2948,2455,493
2014-06-30,6108,749,696,53
2014-06-30,6109,478,423,55
2014-06-30,6110,679,632,47
2014-06-30,6111,812,738,74
2014-06-30,6112,1711,1578,133
2014-06-30,6113,1740,1596,144
2014-06-30,6114,2722,2383,339
2014-06-30,6115,384,357,27
2014-06-30,6116,645,590,55
2014-06-30,6117,1061,963,98
2014-06-30,6118,1591,1448,143
2014-06-30,6119,1242,1062,180
2014-06-30,6120,894,818,76
2014-06-30,6121,634,554,80
2014-06-30,6122,376,362,14
2014-06-30,6123,916,812,104
2014-06-30,6124,926,848,78
2014-06-30,6125,406,359,47
2014-06-30,6126,721,665,56
2014-06-30,6127,447,393,54
2014-06-30,6128,235,215,20
2014-06-30,6129,1229,1111,118
2014-06-30,6130,531,492,39
2014-06-30,6131,1331,1248,83
2014-06-30,6132,660,593,67
2014-06-30,6133,1240,1114,126
2014-06-30,6134,749,633,116
