date,start_station_code,total_count,member_count,non_member_count
2016-10-31,5002,61,50,11
2016-10-31,5003,33,33,0
2016-10-31,5004,62,47,15
2016-10-31,5005,50,45,5
2016-10-31,5006,63,57,6
2016-10-31,5007,266,217,49
2016-10-31,6001,484,421,63
2016-10-31,6002,413,370,43
2016-10-31,6003,661,578,83
2016-10-31,6004,408,277,131
2016-10-31,6005,120,107,13
2016-10-31,6006,392,374,18
2016-10-31,6007,779,676,103
2016-10-31,6008,1131,965,166
2016-10-31,6009,1896,1575,321
2016-10-31,6011,741,690,51
2016-10-31,6012,2431,2048,383
2016-10-31,6014,561,410,151
2016-10-31,6015,2812,2265,547
2016-10-31,6016,127,105,22
2016-10-31,6017,516,486,30
2016-10-31,6018,1184,1076,108
2016-10-31,6019,1690,1502,188
2016-10-31,6021,1787,1583,204
2016-10-31,6022,776,728,48
2016-10-31,6023,1085,629,456
2016-10-31,6024,769,721,48
2016-10-31,6025,586,409,177
2016-10-31,6026,1391,538,853
2016-10-31,6027,1222,1095,127
2016-10-31,6029,331,295,36
2016-10-31,6031,601,462,139
2016-10-31,6032,874,616,258
2016-10-31,6033,277,250,27
2016-10-31,6034,1782,1541,241
2016-10-31,6035,422,326,96
2016-10-31,6036,1272,577,695
2016-10-31,6037,682,537,145
2016-10-31,6038,1111,916,195
2016-10-31,6039,606,469,137
2016-10-31,6040,827,694,133
2016-10-31,6041,1511,1354,157
2016-10-31,6042,1484,1392,92
2016-10-31,6043,1236,1109,127
2016-10-31,6044,1912,1756,156
2016-10-31,6046,1712,1541,171
2016-10-31,6047,1266,1128,138
2016-10-31,6048,944,894,50
2016-10-31,6049,1014,963,51
2016-10-31,6050,1309,627,682
2016-10-31,6051,161,146,15
2016-10-31,6052,1519,1252,267
2016-10-31,6053,508,485,23
2016-10-31,6057,1514,1384,130
2016-10-31,6058,708,640,68
2016-10-31,6059,1154,979,175
2016-10-31,6060,1193,1047,146
2016-10-31,6061,1395,1241,154
2016-10-31,6062,451,323,128
2016-10-31,6063,888,697,191
2016-10-31,6064,4018,3467,551
2016-10-31,6065,1024,866,158
2016-10-31,6066,848,750,98
2016-10-31,6067,1926,1706,220
2016-10-31,6068,1117,965,152
2016-10-31,6070,4859,4260,599
2016-10-31,6072,1458,1307,151
2016-10-31,6073,1947,1702,245
2016-10-31,6075,1023,832,191
2016-10-31,6076,171,164,7
2016-10-31,6078,3379,3052,327
2016-10-31,6079,1265,1074,191
2016-10-31,6080,431,355,76
2016-10-31,6081,1043,876,167
2016-10-31,6082,331,282,49
2016-10-31,6083,1750,1499,251
2016-10-31,6084,545,469,76
2016-10-31,6085,1134,996,138
2016-10-31,6086,1910,1624,286
2016-10-31,6087,1303,1138,165
2016-10-31,6088,1029,932,97
2016-10-31,6089,5,5,0
2016-10-31,6090,691,645,46
2016-10-31,6091,540,456,84
2016-10-31,6092,823,705,118
2016-10-31,6093,687,616,71
2016-10-31,6095,1779,1581,198
2016-10-31,6096,474,443,31
2016-10-31,6097,1757,1632,125
2016-10-31,6098,1214,1019,195
2016-10-31,6099,1022,893,129
2016-10-31,6100,4853,4250,603
2016-10-31,6101,549,516,33
2016-10-31,6102,682,622,60
2016-10-31,6103,246,233,13
2016-10-31,6104,1374,1242,132
2016-10-31,6105,633,582,51
2016-10-31,6106,459,397,62
2016-10-31,6107,1288,1105,183
2016-10-31,6108,477,443,34
2016-10-31,6109,206,46,160
2016-10-31,6110,420,393,27
2016-10-31,6111,199,158,41
2016-10-31,6112,1159,1025,134
2016-10-31,6113,1018,978,40
2016-10-31,6114,1824,1616,208
2016-10-31,6115,221,189,32
2016-10-31,6116,1100,983,117
2016-10-31,6117,759,712,47
2016-10-31,6118,1003,906,97
2016-10-31,6119,1098,998,100
2016-10-31,6120,726,668,58
2016-10-31,6121,375,351,24
2016-10-31,6122,165,140,25
2016-10-31,6123,496,445,51
2016-10-31,6124,418,385,33
2016-10-31,6125,200,152,48
2016-10-31,6126,598,554,44
2016-10-31,6127,571,536,35
2016-10-31,6128,147,116,31
2016-10-31,6130,590,549,41
2016-10-31,6131,1481,1305,176
2016-10-31,6132,703,644,59
2016-10-31,6133,945,861,84
2016-10-31,6134,461,381,80
2016-10-31,6136,4713,4408,305
2016-10-31,6137,1474,1333,141
2016-10-31,6138,913,824,89
2016-10-31,6139,667,636,31
2016-10-31,6140,1533,1337,196
2016-10-31,6142,1310,1027,283
2016-10-31,6143,1692,1314,378
2016-10-31,6145,268,217,51
2016-10-31,6146,285,228,57
2016-10-31,6147,2052,1875,177
2016-10-31,6148,2245,2102,143
2016-10-31,6149,405,364,41
2016-10-31,6150,674,602,72
2016-10-31,6151,2006,1804,202
2016-10-31,6152,1736,1589,147
2016-10-31,6153,957,898,59
2016-10-31,6154,2654,2469,185
2016-10-31,6155,2147,1951,196
2016-10-31,6156,1173,1111,62
2016-10-31,6157,1717,1467,250
2016-10-31,6158,1152,1074,78
2016-10-31,6159,716,648,68
2016-10-31,6160,978,896,82
2016-10-31,6161,860,779,81
2016-10-31,6162,528,487,41
2016-10-31,6163,2041,1787,254
2016-10-31,6164,1422,1309,113
2016-10-31,6165,842,746,96
2016-10-31,6166,968,857,111
2016-10-31,6167,816,747,69
2016-10-31,6168,658,629,29
2016-10-31,6169,2290,2025,265
2016-10-31,6170,1456,1250,206
2016-10-31,6171,389,343,46
2016-10-31,6173,2103,1916,187
2016-10-31,6174,1825,1570,255
2016-10-31,6175,1714,1541,173
2016-10-31,6176,1603,1470,133
2016-10-31,6177,1465,1218,247
2016-10-31,6178,1788,1572,216
2016-10-31,6179,905,734,171
2016-10-31,6180,895,729,166
2016-10-31,6181,1808,1498,310
2016-10-31,6182,875,737,138
2016-10-31,6183,1275,1109,166
2016-10-31,6184,3972,3483,489
2016-10-31,6185,312,288,24
2016-10-31,6187,1542,1244,298
2016-10-31,6188,984,909,75
2016-10-31,6189,328,303,25
2016-10-31,6190,1249,1165,84
2016-10-31,6191,497,386,111
2016-10-31,6192,719,670,49
2016-10-31,6193,1945,1698,247
2016-10-31,6194,1012,911,101
2016-10-31,6195,1840,1654,186
2016-10-31,6196,1914,1651,263
2016-10-31,6197,1179,1063,116
2016-10-31,6198,459,416,43
2016-10-31,6199,2182,1871,311
2016-10-31,6200,1352,1199,153
2016-10-31,6201,1280,1171,109
2016-10-31,6202,1922,1665,257
2016-10-31,6203,1559,1306,253
2016-10-31,6204,1879,1613,266
2016-10-31,6205,1592,1400,192
2016-10-31,6206,2967,2626,341
2016-10-31,6207,1024,899,125
2016-10-31,6208,1165,1002,163
2016-10-31,6209,2069,1802,267
2016-10-31,6210,332,314,18
2016-10-31,6211,2564,2149,415
2016-10-31,6212,798,668,130
