date,start_station_code,total_count,member_count,non_member_count
2015-07-31,5002,68,44,24
2015-07-31,5003,36,27,9
2015-07-31,5004,48,34,14
2015-07-31,5005,79,66,13
2015-07-31,5006,41,35,6
2015-07-31,5007,333,251,82
2015-07-31,6001,1341,660,681
2015-07-31,6002,818,700,118
2015-07-31,6003,830,694,136
2015-07-31,6004,1757,1228,529
2015-07-31,6005,2270,1630,640
2015-07-31,6006,494,417,77
2015-07-31,6007,1198,753,445
2015-07-31,6008,1561,1185,376
2015-07-31,6009,3592,2524,1068
2015-07-31,6011,728,646,82
2015-07-31,6012,4583,3379,1204
2015-07-31,6014,2415,1590,825
2015-07-31,6015,3821,2858,963
2015-07-31,6016,188,161,27
2015-07-31,6017,680,605,75
2015-07-31,6018,1831,1516,315
2015-07-31,6019,2422,1985,437
2015-07-31,6020,2001,1360,641
2015-07-31,6021,1726,1373,353
2015-07-31,6022,1122,1021,101
2015-07-31,6023,2730,1255,1475
2015-07-31,6024,617,573,44
2015-07-31,6025,983,561,422
2015-07-31,6026,4147,1263,2884
2015-07-31,6027,1338,1109,229
2015-07-31,6029,580,514,66
2015-07-31,6031,1686,1111,575
2015-07-31,6033,333,293,40
2015-07-31,6034,3975,2809,1166
2015-07-31,6036,3792,1526,2266
2015-07-31,6037,1045,726,319
2015-07-31,6038,1806,1351,455
2015-07-31,6039,2103,1608,495
2015-07-31,6040,1131,754,377
2015-07-31,6041,2084,1858,226
2015-07-31,6042,1893,1662,231
2015-07-31,6043,2309,1835,474
2015-07-31,6044,2263,1991,272
2015-07-31,6046,2521,2095,426
2015-07-31,6047,1705,1478,227
2015-07-31,6048,1224,1116,108
2015-07-31,6049,1698,1597,101
2015-07-31,6050,2777,1297,1480
2015-07-31,6051,264,259,5
2015-07-31,6052,3655,2435,1220
2015-07-31,6053,1004,928,76
2015-07-31,6057,1574,1315,259
2015-07-31,6058,1302,959,343
2015-07-31,6059,2717,2095,622
2015-07-31,6060,1719,1398,321
2015-07-31,6061,1241,966,275
2015-07-31,6062,1571,1069,502
2015-07-31,6063,2505,1968,537
2015-07-31,6064,5186,4218,968
2015-07-31,6065,1620,1220,400
2015-07-31,6066,2386,2020,366
2015-07-31,6067,3185,2685,500
2015-07-31,6068,1796,1358,438
2015-07-31,6070,3821,3266,555
2015-07-31,6072,1945,1642,303
2015-07-31,6073,2552,2097,455
2015-07-31,6075,981,737,244
2015-07-31,6076,383,346,37
2015-07-31,6078,5977,4916,1061
2015-07-31,6079,1776,1482,294
2015-07-31,6081,1187,991,196
2015-07-31,6082,405,356,49
2015-07-31,6083,3023,2280,743
2015-07-31,6084,1027,894,133
2015-07-31,6085,1992,1614,378
2015-07-31,6086,2048,1602,446
2015-07-31,6087,2396,1967,429
2015-07-31,6088,1207,978,229
2015-07-31,6089,678,600,78
2015-07-31,6090,824,675,149
2015-07-31,6091,762,629,133
2015-07-31,6092,1150,836,314
2015-07-31,6093,677,531,146
2015-07-31,6094,2031,1852,179
2015-07-31,6095,2295,1909,386
2015-07-31,6096,454,384,70
2015-07-31,6097,2944,2504,440
2015-07-31,6098,1647,1290,357
2015-07-31,6099,3001,2399,602
2015-07-31,6100,5742,4907,835
2015-07-31,6101,653,545,108
2015-07-31,6102,721,647,74
2015-07-31,6103,359,309,50
2015-07-31,6104,2283,1920,363
2015-07-31,6105,1096,919,177
2015-07-31,6106,1169,827,342
2015-07-31,6107,1793,1398,395
2015-07-31,6108,1226,1072,154
2015-07-31,6109,910,250,660
2015-07-31,6110,748,661,87
2015-07-31,6111,1330,1078,252
2015-07-31,6112,2006,1741,265
2015-07-31,6113,1697,1492,205
2015-07-31,6114,3338,2710,628
2015-07-31,6115,413,357,56
2015-07-31,6116,1916,1641,275
2015-07-31,6117,1272,1155,117
2015-07-31,6118,1134,1000,134
2015-07-31,6119,1796,1506,290
2015-07-31,6120,65,55,10
2015-07-31,6121,1052,942,110
2015-07-31,6122,550,497,53
2015-07-31,6123,913,778,135
2015-07-31,6124,141,116,25
2015-07-31,6125,402,345,57
2015-07-31,6126,999,896,103
2015-07-31,6127,904,765,139
2015-07-31,6128,499,439,60
2015-07-31,6129,1081,938,143
2015-07-31,6130,673,598,75
2015-07-31,6131,2017,1619,398
2015-07-31,6132,1079,914,165
2015-07-31,6133,1464,1232,232
2015-07-31,6134,747,610,137
2015-07-31,6136,2772,2507,265
