date,start_station_code,total_count,member_count,non_member_count
2015-04-30,5002,9,8,1
2015-04-30,5003,8,4,4
2015-04-30,5004,23,21,2
2015-04-30,5005,12,11,1
2015-04-30,5006,16,16,0
2015-04-30,5007,84,80,4
2015-04-30,6001,287,207,80
2015-04-30,6002,130,124,6
2015-04-30,6003,436,362,74
2015-04-30,6004,431,381,50
2015-04-30,6005,184,143,41
2015-04-30,6006,83,77,6
2015-04-30,6007,219,188,31
2015-04-30,6008,338,294,44
2015-04-30,6009,711,648,63
2015-04-30,6011,264,250,14
2015-04-30,6012,988,874,114
2015-04-30,6014,615,530,85
2015-04-30,6015,866,765,101
2015-04-30,6017,131,124,7
2015-04-30,6018,461,434,27
2015-04-30,6019,287,270,17
2015-04-30,6020,512,475,37
2015-04-30,6021,425,388,37
2015-04-30,6022,276,263,13
2015-04-30,6023,352,223,129
2015-04-30,6024,131,121,10
2015-04-30,6025,229,195,34
2015-04-30,6026,417,164,253
2015-04-30,6027,365,334,31
2015-04-30,6029,135,129,6
2015-04-30,6031,272,229,43
2015-04-30,6032,542,441,101
2015-04-30,6033,129,113,16
2015-04-30,6034,752,656,96
2015-04-30,6036,553,273,280
2015-04-30,6037,254,219,35
2015-04-30,6038,422,379,43
2015-04-30,6039,521,436,85
2015-04-30,6040,305,261,44
2015-04-30,6041,548,519,29
2015-04-30,6042,530,491,39
2015-04-30,6043,606,547,59
2015-04-30,6044,509,473,36
2015-04-30,6046,597,574,23
2015-04-30,6047,354,332,22
2015-04-30,6048,420,411,9
2015-04-30,6049,494,470,24
2015-04-30,6050,381,233,148
2015-04-30,6051,66,66,0
2015-04-30,6052,553,455,98
2015-04-30,6053,318,306,12
2015-04-30,6057,443,430,13
2015-04-30,6058,308,291,17
2015-04-30,6059,591,520,71
2015-04-30,6060,224,209,15
2015-04-30,6061,659,590,69
2015-04-30,6062,278,258,20
2015-04-30,6063,548,470,78
2015-04-30,6064,1455,1313,142
2015-04-30,6065,351,310,41
2015-04-30,6066,289,278,11
2015-04-30,6067,667,605,62
2015-04-30,6068,600,525,75
2015-04-30,6070,1095,999,96
2015-04-30,6072,287,259,28
2015-04-30,6073,730,666,64
2015-04-30,6075,298,271,27
2015-04-30,6076,70,68,2
2015-04-30,6078,1456,1317,139
2015-04-30,6079,426,380,46
2015-04-30,6080,127,110,17
2015-04-30,6081,219,207,12
2015-04-30,6082,64,63,1
2015-04-30,6083,605,532,73
2015-04-30,6084,271,245,26
2015-04-30,6085,528,481,47
2015-04-30,6086,356,313,43
2015-04-30,6087,549,509,40
2015-04-30,6088,374,347,27
2015-04-30,6089,163,156,7
2015-04-30,6090,92,87,5
2015-04-30,6091,148,125,23
2015-04-30,6092,241,209,32
2015-04-30,6093,284,250,34
2015-04-30,6094,639,609,30
2015-04-30,6095,602,516,86
2015-04-30,6096,193,171,22
2015-04-30,6097,744,688,56
2015-04-30,6098,259,233,26
2015-04-30,6099,783,666,117
2015-04-30,6100,1150,1022,128
2015-04-30,6101,141,134,7
2015-04-30,6102,123,103,20
2015-04-30,6103,47,41,6
2015-04-30,6104,522,487,35
2015-04-30,6105,322,307,15
2015-04-30,6106,202,169,33
2015-04-30,6107,575,504,71
2015-04-30,6108,298,280,18
2015-04-30,6110,275,260,15
2015-04-30,6111,252,239,13
2015-04-30,6112,498,473,25
2015-04-30,6113,218,207,11
2015-04-30,6114,848,745,103
2015-04-30,6115,101,96,5
2015-04-30,6116,508,482,26
2015-04-30,6117,289,281,8
2015-04-30,6118,468,441,27
2015-04-30,6119,342,324,18
2015-04-30,6121,295,282,13
2015-04-30,6123,277,264,13
2015-04-30,6125,109,101,8
2015-04-30,6126,261,256,5
2015-04-30,6127,180,163,17
2015-04-30,6128,93,87,6
2015-04-30,6129,268,248,20
2015-04-30,6130,123,110,13
2015-04-30,6131,408,385,23
2015-04-30,6132,267,252,15
2015-04-30,6133,327,310,17
2015-04-30,6134,225,196,29
2015-04-30,6136,250,236,14
2015-04-30,6137,546,493,53
2015-04-30,6138,323,303,20
2015-04-30,6139,285,242,43
2015-04-30,6140,603,565,38
2015-04-30,6141,467,437,30
2015-04-30,6142,761,670,91
2015-04-30,6143,382,341,41
2015-04-30,6145,209,180,29
2015-04-30,6146,200,178,22
2015-04-30,6147,825,770,55
2015-04-30,6148,828,767,61
2015-04-30,6149,341,321,20
2015-04-30,6150,383,355,28
2015-04-30,6151,722,684,38
2015-04-30,6152,837,792,45
2015-04-30,6153,324,316,8
2015-04-30,6154,1222,1148,74
2015-04-30,6155,883,821,62
2015-04-30,6156,439,421,18
2015-04-30,6157,707,657,50
2015-04-30,6158,557,509,48
2015-04-30,6159,502,484,18
2015-04-30,6160,351,334,17
2015-04-30,6161,433,414,19
2015-04-30,6162,209,194,15
2015-04-30,6163,362,336,26
2015-04-30,6164,861,801,60
2015-04-30,6165,652,591,61
2015-04-30,6166,528,496,32
2015-04-30,6167,154,147,7
2015-04-30,6168,116,107,9
2015-04-30,6169,453,419,34
2015-04-30,6170,370,337,33
2015-04-30,6171,189,178,11
2015-04-30,6173,942,886,56
2015-04-30,6174,694,645,49
2015-04-30,6175,764,705,59
2015-04-30,6176,488,466,22
2015-04-30,6177,451,416,35
2015-04-30,6178,822,751,71
2015-04-30,6179,832,753,79
2015-04-30,6180,184,149,35
2015-04-30,6181,604,546,58
2015-04-30,6182,359,330,29
2015-04-30,6183,568,521,47
2015-04-30,6184,2100,1909,191
2015-04-30,6185,175,168,7
2015-04-30,6186,888,826,62
2015-04-30,6187,659,613,46
2015-04-30,6188,375,361,14
2015-04-30,6189,47,46,1
2015-04-30,6190,704,678,26
2015-04-30,6191,361,322,39
2015-04-30,6192,1310,1233,77
2015-04-30,6193,927,836,91
2015-04-30,6194,212,182,30
2015-04-30,6195,419,390,29
2015-04-30,6196,640,554,86
2015-04-30,6197,420,394,26
2015-04-30,6198,357,336,21
2015-04-30,6199,715,634,81
2015-04-30,6200,296,267,29
2015-04-30,6201,528,499,29
2015-04-30,6202,580,534,46
2015-04-30,6203,473,409,64
2015-04-30,6204,517,469,48
2015-04-30,6205,609,544,65
2015-04-30,6206,895,826,69
2015-04-30,6207,316,296,20
2015-04-30,6208,405,372,33
2015-04-30,6209,606,550,56
2015-04-30,6210,179,178,1
2015-04-30,6211,943,840,103
2015-04-30,6212,287,257,30
2015-04-30,6213,797,732,65
2015-04-30,6214,1461,1323,138
2015-04-30,6215,515,481,34
2015-04-30,6216,723,594,129
2015-04-30,6217,531,493,38
2015-04-30,6218,423,387,36
2015-04-30,6219,448,414,34
2015-04-30,6220,489,447,42
2015-04-30,6221,1006,935,71
2015-04-30,6222,614,562,52
2015-04-30,6223,721,621,100
2015-04-30,6224,584,545,39
2015-04-30,6225,316,287,29
2015-04-30,6226,30,28,2
2015-04-30,6227,415,377,38
2015-04-30,6228,133,114,19
2015-04-30,6229,437,403,34
2015-04-30,6230,446,387,59
2015-04-30,6231,682,635,47
2015-04-30,6232,279,266,13
2015-04-30,6233,771,691,80
2015-04-30,6234,518,454,64
2015-04-30,6235,752,713,39
2015-04-30,6236,429,385,44
2015-04-30,6237,217,204,13
2015-04-30,6241,346,320,26
2015-04-30,6243,202,189,13
2015-04-30,6245,282,258,24
2015-04-30,6246,483,452,31
2015-04-30,6247,266,251,15
2015-04-30,6248,891,809,82
2015-04-30,6249,261,244,17
2015-04-30,6250,610,513,97
2015-04-30,6251,136,110,26
2015-04-30,6252,308,283,25
2015-04-30,6253,444,417,27
2015-04-30,6254,356,341,15
2015-04-30,6255,308,298,10
2015-04-30,6257,280,266,14
2015-04-30,6258,163,154,9
2015-04-30,6259,173,148,25
2015-04-30,6260,125,120,5
2015-04-30,6261,298,289,9
2015-04-30,6262,286,275,11
2015-04-30,6263,146,140,6
2015-04-30,6264,232,217,15
2015-04-30,6265,242,233,9
2015-04-30,6266,236,234,2
2015-04-30,6267,294,279,15
2015-04-30,6268,347,330,17
2015-04-30,6269,172,160,12
2015-04-30,6270,252,242,10
2015-04-30,6271,364,332,32
2015-04-30,6272,73,73,0
2015-04-30,6273,191,175,16
2015-04-30,6274,262,244,18
2015-04-30,6275,195,186,9
2015-04-30,6276,205,182,23
2015-04-30,6277,325,306,19
2015-04-30,6278,131,122,9
2015-04-30,6279,118,110,8
2015-04-30,6280,778,715,63
2015-04-30,6281,185,183,2
2015-04-30,6301,105,90,15
2015-04-30,6302,118,103,15
2015-04-30,6303,119,102,17
2015-04-30,6304,91,83,8
2015-04-30,6305,101,97,4
2015-04-30,6306,593,541,52
2015-04-30,6307,437,400,37
2015-04-30,6309,116,107,9
2015-04-30,6310,473,445,28
2015-04-30,6311,82,76,6
2015-04-30,6312,96,74,22
2015-04-30,6313,224,200,24
2015-04-30,6314,368,366,2
2015-04-30,6315,316,269,47
2015-04-30,6316,305,272,33
2015-04-30,6321,49,49,0
2015-04-30,6322,315,302,13
2015-04-30,6323,97,88,9
2015-04-30,6324,111,96,15
2015-04-30,6327,225,196,29
2015-04-30,6328,291,271,20
2015-04-30,6329,199,184,15
2015-04-30,6330,241,223,18
2015-04-30,6331,162,154,8
2015-04-30,6332,190,178,12
2015-04-30,6333,123,116,7
2015-04-30,6334,521,502,19
2015-04-30,6335,202,190,12
2015-04-30,6336,186,178,8
2015-04-30,6338,246,239,7
2015-04-30,6339,145,130,15
2015-04-30,6340,318,299,19
2015-04-30,6341,152,146,6
2015-04-30,6343,164,162,2
2015-04-30,6344,511,459,52
2015-04-30,6345,140,126,14
2015-04-30,6346,107,88,19
2015-04-30,6347,50,46,4
2015-04-30,6349,63,54,9
2015-04-30,6350,242,236,6
2015-04-30,6355,56,55,1
2015-04-30,6356,154,126,28
2015-04-30,6357,70,66,4
2015-04-30,6358,77,68,9
2015-04-30,6360,149,146,3
2015-04-30,6361,251,228,23
2015-04-30,6362,158,149,9
2015-04-30,6363,74,67,7
2015-04-30,6364,266,224,42
2015-04-30,6366,253,233,20
2015-04-30,6367,167,156,11
2015-04-30,6368,325,276,49
2015-04-30,6369,98,83,15
2015-04-30,6370,158,144,14
2015-04-30,6371,243,228,15
2015-04-30,6372,125,112,13
2015-04-30,6373,72,66,6
2015-04-30,6374,77,72,5
2015-04-30,6375,220,202,18
2015-04-30,6376,73,64,9
2015-04-30,6377,216,212,4
2015-04-30,6379,155,140,15
2015-04-30,6380,217,213,4
2015-04-30,6381,444,428,16
2015-04-30,6383,145,116,29
2015-04-30,6384,124,112,12
2015-04-30,6385,149,143,6
2015-04-30,6386,374,354,20
2015-04-30,6387,291,264,27
2015-04-30,6388,113,104,9
2015-04-30,6389,336,318,18
2015-04-30,6391,147,136,11
2015-04-30,6393,356,324,32
2015-04-30,6394,445,402,43
2015-04-30,6395,268,214,54
2015-04-30,6396,460,413,47
2015-04-30,6397,326,297,29
2015-04-30,6398,189,177,12
2015-04-30,6401,106,89,17
2015-04-30,6402,208,189,19
2015-04-30,6403,221,191,30
2015-04-30,6404,96,91,5
2015-04-30,6405,283,264,19
2015-04-30,6406,659,519,140
2015-04-30,6407,145,123,22
2015-04-30,6408,181,176,5
2015-04-30,6409,101,97,4
2015-04-30,6410,211,199,12
2015-04-30,6411,874,784,90
2015-04-30,6412,111,103,8
2015-04-30,6413,560,509,51
2015-04-30,6414,103,98,5
2015-04-30,6415,191,156,35
2015-04-30,6416,52,49,3
2015-04-30,6417,115,115,0
2015-04-30,6418,358,331,27
2015-04-30,6419,24,20,4
2015-04-30,6420,54,50,4
2015-04-30,6421,120,117,3
2015-04-30,6422,79,72,7
2015-04-30,6423,61,58,3
2015-04-30,6424,231,205,26
2015-04-30,6425,248,225,23
2015-04-30,6426,253,237,16
2015-04-30,6427,211,187,24
2015-04-30,6428,78,45,33
2015-04-30,6429,124,85,39
2015-04-30,6432,502,452,50
2015-04-30,6433,173,153,20
2015-04-30,6434,419,375,44
2015-04-30,6435,220,204,16
2015-04-30,6436,159,135,24
2015-04-30,6501,213,43,170
2015-04-30,6502,30,5,25
2015-04-30,6503,177,158,19
2015-04-30,6504,22,1,21
2015-04-30,6700,61,56,5
2015-04-30,6701,66,52,14
2015-04-30,6702,91,91,0
2015-04-30,6703,118,106,12
2015-04-30,6704,84,79,5
2015-04-30,6705,74,69,5
2015-04-30,6706,94,92,2
2015-04-30,6707,120,111,9
2015-04-30,6708,126,109,17
2015-04-30,6709,89,83,6
2015-04-30,6710,78,75,3
2015-04-30,6711,210,190,20
2015-04-30,6712,56,38,18
2015-04-30,6713,67,58,9
2015-04-30,6714,48,33,15
2015-04-30,6715,60,52,8
2015-04-30,6716,52,45,7
2015-04-30,6717,79,71,8
2015-04-30,6718,177,167,10
2015-04-30,6719,48,47,1
2015-04-30,6720,142,136,6
2015-04-30,6721,42,40,2
2015-04-30,6722,36,36,0
2015-04-30,6723,39,36,3
2015-04-30,6724,165,148,17
2015-04-30,6725,85,80,5
2015-04-30,6726,35,29,6
2015-04-30,6727,182,155,27
2015-04-30,6728,68,62,6
2015-04-30,6729,815,780,35
2015-04-30,6730,33,31,2
2015-04-30,6731,38,30,8
2015-04-30,6732,148,138,10
2015-04-30,6733,130,120,10
2015-04-30,6734,94,94,0
2015-04-30,6735,99,89,10
2015-04-30,6736,6,5,1
2015-04-30,6737,110,103,7
2015-04-30,6738,262,249,13
2015-04-30,6739,46,43,3
2015-04-30,6741,149,136,13
2015-04-30,6742,103,62,41
2015-04-30,6743,153,141,12
2015-04-30,6744,75,69,6
2015-04-30,6745,83,68,15
2015-04-30,6746,58,46,12
2015-04-30,6747,201,186,15
2015-04-30,6748,165,107,58
2015-04-30,6749,114,106,8
2015-04-30,6750,342,311,31
2015-04-30,6901,267,228,39
2015-04-30,6902,458,429,29
2015-04-30,6903,345,302,43
2015-04-30,6904,261,245,16
2015-04-30,6905,110,106,4
2015-04-30,6906,424,403,21
2015-04-30,6907,586,540,46
2015-04-30,6908,334,293,41
2015-04-30,6910,475,436,39
2015-04-30,6912,748,708,40
2015-04-30,6913,338,302,36
2015-04-30,6915,212,200,12
2015-04-30,6916,278,260,18
2015-04-30,6917,114,108,6
2015-04-30,6918,198,188,10
2015-04-30,6919,138,130,8
2015-04-30,6921,427,397,30
2015-04-30,6923,298,282,16
2015-04-30,6924,59,58,1
2015-04-30,6925,216,207,9
2015-04-30,6926,356,338,18
2015-04-30,6927,336,300,36
2015-04-30,6928,218,199,19
2015-04-30,6929,222,216,6
2015-04-30,10002,442,422,20
