date,start_station_code,total_count,member_count,non_member_count
2018-09-30,4000,1235,1107,128
2018-09-30,4001,756,225,531
2018-09-30,4002,2517,2217,300
2018-09-30,5002,45,35,10
2018-09-30,5003,41,31,10
2018-09-30,5004,84,65,19
2018-09-30,5005,93,76,17
2018-09-30,5006,136,127,9
2018-09-30,5007,483,395,88
2018-09-30,6001,1586,1269,317
2018-09-30,6002,782,637,145
2018-09-30,6003,1933,1643,290
2018-09-30,6004,1558,991,567
2018-09-30,6005,1441,1189,252
2018-09-30,6006,587,508,79
2018-09-30,6007,1213,913,300
2018-09-30,6008,2144,1845,299
2018-09-30,6009,2621,1944,677
2018-09-30,6011,1554,1355,199
2018-09-30,6012,3907,3041,866
2018-09-30,6013,2343,1929,414
2018-09-30,6014,32,20,12
2018-09-30,6015,5411,4420,991
2018-09-30,6016,220,180,40
2018-09-30,6017,1023,922,101
2018-09-30,6018,1573,1330,243
2018-09-30,6019,3620,3211,409
2018-09-30,6020,1695,1356,339
2018-09-30,6021,2624,2228,396
2018-09-30,6022,1455,1290,165
2018-09-30,6023,3303,1776,1527
2018-09-30,6024,1102,986,116
2018-09-30,6025,871,541,330
2018-09-30,6026,3754,1407,2347
2018-09-30,6027,1829,1594,235
2018-09-30,6029,605,552,53
2018-09-30,6031,929,600,329
2018-09-30,6032,1545,1038,507
2018-09-30,6033,463,413,50
2018-09-30,6034,1596,1248,348
2018-09-30,6035,589,444,145
2018-09-30,6036,3097,1388,1709
2018-09-30,6037,1232,791,441
2018-09-30,6038,1881,1507,374
2018-09-30,6039,1818,1423,395
2018-09-30,6040,1356,978,378
2018-09-30,6041,1920,1664,256
2018-09-30,6042,1836,1665,171
2018-09-30,6043,2735,2392,343
2018-09-30,6044,46,28,18
2018-09-30,6046,2703,2425,278
2018-09-30,6047,1848,1629,219
2018-09-30,6048,1062,962,100
2018-09-30,6049,1985,1800,185
2018-09-30,6050,3172,1446,1726
2018-09-30,6051,611,581,30
2018-09-30,6052,3099,2061,1038
2018-09-30,6053,997,921,76
2018-09-30,6057,2184,1921,263
2018-09-30,6058,1920,1639,281
2018-09-30,6059,1537,1317,220
2018-09-30,6060,712,605,107
2018-09-30,6061,2351,1961,390
2018-09-30,6062,1869,1436,433
2018-09-30,6063,3099,2600,499
2018-09-30,6064,6941,5880,1061
2018-09-30,6066,1033,701,332
2018-09-30,6067,2613,2312,301
2018-09-30,6068,1503,1258,245
2018-09-30,6070,6045,5202,843
2018-09-30,6072,1960,1730,230
2018-09-30,6073,3340,2934,406
2018-09-30,6075,1148,868,280
2018-09-30,6076,415,364,51
2018-09-30,6078,2477,1985,492
2018-09-30,6079,2123,1790,333
2018-09-30,6080,1838,1615,223
2018-09-30,6081,1829,1539,290
2018-09-30,6082,508,450,58
2018-09-30,6083,1334,1171,163
2018-09-30,6084,996,705,291
2018-09-30,6085,2130,1806,324
2018-09-30,6086,300,260,40
2018-09-30,6087,2230,1938,292
2018-09-30,6088,1281,1054,227
2018-09-30,6089,911,807,104
2018-09-30,6090,1796,1327,469
2018-09-30,6091,1259,1088,171
2018-09-30,6092,2353,1890,463
2018-09-30,6093,1026,914,112
2018-09-30,6094,1440,1290,150
2018-09-30,6095,2707,2294,413
2018-09-30,6096,1221,1116,105
2018-09-30,6097,2025,1632,393
2018-09-30,6098,1730,1378,352
2018-09-30,6099,2663,2031,632
2018-09-30,6100,8452,7358,1094
2018-09-30,6101,1113,1035,78
2018-09-30,6102,1085,972,113
2018-09-30,6103,593,515,78
2018-09-30,6104,2143,1869,274
2018-09-30,6105,1184,1054,130
2018-09-30,6106,732,512,220
2018-09-30,6107,2859,2367,492
2018-09-30,6108,1222,1047,175
2018-09-30,6109,503,115,388
2018-09-30,6110,847,723,124
2018-09-30,6111,1057,930,127
2018-09-30,6112,2681,2256,425
2018-09-30,6113,1868,1663,205
2018-09-30,6114,3616,2936,680
2018-09-30,6115,622,566,56
2018-09-30,6116,164,120,44
2018-09-30,6117,1116,988,128
2018-09-30,6118,2151,1922,229
2018-09-30,6119,2003,1723,280
2018-09-30,6121,1051,957,94
2018-09-30,6122,468,428,40
2018-09-30,6123,832,694,138
2018-09-30,6124,1668,1452,216
2018-09-30,6125,560,480,80
2018-09-30,6126,858,753,105
2018-09-30,6127,1521,1387,134
2018-09-30,6128,936,853,83
2018-09-30,6129,2014,1774,240
2018-09-30,6130,889,774,115
2018-09-30,6131,2392,2120,272
2018-09-30,6132,1286,1162,124
2018-09-30,6133,1666,1473,193
2018-09-30,6134,1105,937,168
2018-09-30,6136,6832,6215,617
2018-09-30,6137,2621,2306,315
2018-09-30,6138,1619,1446,173
2018-09-30,6140,2452,2166,286
2018-09-30,6141,2339,1977,362
2018-09-30,6142,2551,2056,495
2018-09-30,6143,2587,1904,683
2018-09-30,6145,1722,1359,363
2018-09-30,6146,1725,1400,325
2018-09-30,6147,2550,2257,293
2018-09-30,6148,3402,2955,447
2018-09-30,6149,1206,1011,195
2018-09-30,6150,1821,1638,183
2018-09-30,6151,2293,2006,287
2018-09-30,6152,3218,2865,353
2018-09-30,6153,1082,978,104
2018-09-30,6154,4961,4447,514
2018-09-30,6155,3853,3441,412
2018-09-30,6156,2039,1860,179
2018-09-30,6157,3325,2745,580
2018-09-30,6158,1864,1664,200
2018-09-30,6159,1132,966,166
2018-09-30,6160,1692,1526,166
2018-09-30,6161,821,736,85
2018-09-30,6162,729,612,117
2018-09-30,6163,3299,2820,479
2018-09-30,6164,2673,2395,278
2018-09-30,6165,2395,1997,398
2018-09-30,6166,2116,1905,211
