date,start_station_code,total_count,member_count,non_member_count
2018-10-31,4000,706,659,47
2018-10-31,4001,190,47,143
2018-10-31,4002,1480,1399,81
2018-10-31,5002,40,30,10
2018-10-31,5003,31,27,4
2018-10-31,5004,43,38,5
2018-10-31,5005,61,58,3
2018-10-31,5006,88,83,5
2018-10-31,5007,203,180,23
2018-10-31,6001,985,871,114
2018-10-31,6002,500,452,48
2018-10-31,6003,1120,1019,101
2018-10-31,6004,816,627,189
2018-10-31,6005,895,781,114
2018-10-31,6006,367,332,35
2018-10-31,6007,682,590,92
2018-10-31,6008,1214,1088,126
2018-10-31,6009,1362,1169,193
2018-10-31,6011,932,841,91
2018-10-31,6012,2434,2088,346
2018-10-31,6013,1250,1126,124
2018-10-31,6014,27,23,4
2018-10-31,6015,3102,2737,365
2018-10-31,6016,126,111,15
2018-10-31,6017,613,578,35
2018-10-31,6018,1029,935,94
2018-10-31,6019,2721,2556,165
2018-10-31,6020,1375,1224,151
2018-10-31,6021,1780,1654,126
2018-10-31,6022,763,713,50
2018-10-31,6023,1238,835,403
2018-10-31,6024,686,632,54
2018-10-31,6025,490,383,107
2018-10-31,6026,1063,487,576
2018-10-31,6027,1456,1332,124
2018-10-31,6029,366,351,15
2018-10-31,6031,594,456,138
2018-10-31,6032,915,668,247
2018-10-31,6033,293,268,25
2018-10-31,6034,934,805,129
2018-10-31,6035,326,286,40
2018-10-31,6036,1296,748,548
2018-10-31,6037,652,537,115
2018-10-31,6038,1116,985,131
2018-10-31,6039,1107,960,147
2018-10-31,6040,758,673,85
2018-10-31,6041,1298,1193,105
2018-10-31,6042,1307,1255,52
2018-10-31,6043,1712,1586,126
2018-10-31,6044,39,30,9
2018-10-31,6046,1777,1635,142
2018-10-31,6047,1667,1521,146
2018-10-31,6048,753,723,30
2018-10-31,6049,1571,1498,73
2018-10-31,6050,1015,601,414
2018-10-31,6051,424,403,21
2018-10-31,6052,1314,1025,289
2018-10-31,6053,756,708,48
2018-10-31,6057,1487,1391,96
2018-10-31,6058,1239,1167,72
2018-10-31,6059,1065,970,95
2018-10-31,6060,683,626,57
2018-10-31,6061,1514,1337,177
2018-10-31,6062,1087,913,174
2018-10-31,6063,1742,1562,180
2018-10-31,6064,4159,3779,380
2018-10-31,6065,421,358,63
2018-10-31,6066,936,726,210
2018-10-31,6067,1938,1809,129
2018-10-31,6068,937,828,109
2018-10-31,6070,4793,4334,459
2018-10-31,6072,1282,1186,96
2018-10-31,6073,1880,1712,168
2018-10-31,6075,755,664,91
2018-10-31,6076,210,196,14
2018-10-31,6078,1396,1271,125
2018-10-31,6079,514,440,74
2018-10-31,6080,825,756,69
2018-10-31,6081,1274,1130,144
2018-10-31,6082,272,252,20
2018-10-31,6083,887,806,81
2018-10-31,6084,597,504,93
2018-10-31,6085,1623,1464,159
2018-10-31,6086,202,189,13
2018-10-31,6087,1205,1116,89
2018-10-31,6088,834,740,94
2018-10-31,6089,643,605,38
2018-10-31,6090,986,784,202
2018-10-31,6091,783,720,63
2018-10-31,6092,1446,1288,158
2018-10-31,6093,546,496,50
2018-10-31,6094,1048,978,70
2018-10-31,6095,1422,1278,144
2018-10-31,6096,930,872,58
2018-10-31,6097,1102,970,132
2018-10-31,6098,1056,941,115
2018-10-31,6099,1160,960,200
2018-10-31,6100,5079,4649,430
2018-10-31,6101,952,903,49
2018-10-31,6102,535,483,52
2018-10-31,6103,265,250,15
2018-10-31,6104,1446,1318,128
2018-10-31,6105,1007,923,84
2018-10-31,6106,336,287,49
2018-10-31,6107,1625,1440,185
2018-10-31,6108,709,654,55
2018-10-31,6109,111,24,87
2018-10-31,6110,569,530,39
2018-10-31,6111,628,574,54
2018-10-31,6112,1703,1522,181
2018-10-31,6113,536,476,60
2018-10-31,6114,2208,1993,215
2018-10-31,6115,355,334,21
2018-10-31,6117,817,777,40
2018-10-31,6118,1398,1323,75
2018-10-31,6119,1293,1196,97
2018-10-31,6121,591,555,36
2018-10-31,6122,252,238,14
2018-10-31,6123,611,562,49
2018-10-31,6124,896,826,70
2018-10-31,6125,234,201,33
2018-10-31,6126,655,609,46
2018-10-31,6127,873,810,63
2018-10-31,6128,457,419,38
