date,start_station_code,total_count
2022-09-30,4002.0,1228
2022-09-30,5002.0,1814
2022-09-30,5003.0,571
2022-09-30,5004.0,1222
2022-09-30,5006.0,2869
2022-09-30,5007.0,684
2022-09-30,6009,200
2022-09-30,6013,1742
2022-09-30,6017,595
2022-09-30,6021.0,1063
2022-09-30,6022,816
2022-09-30,6039,4173
2022-09-30,6044,3778
2022-09-30,6066.0,1256
2022-09-30,6068,549
2022-09-30,6083,466
2022-09-30,6088.0,886
2022-09-30,6089,72
2022-09-30,6090,161
2022-09-30,6093,779
2022-09-30,6094,774
2022-09-30,6095,4706
2022-09-30,6097,771
2022-09-30,6100,916
2022-09-30,6103,2559
2022-09-30,6110,1532
2022-09-30,6111,1504
2022-09-30,6134,2508
2022-09-30,6136,2901
2022-09-30,6138,1195
2022-09-30,6140,1681
2022-09-30,6141,1118
2022-09-30,6142,904
2022-09-30,6143,1148
2022-09-30,6145,3771
2022-09-30,6146,2555
2022-09-30,6147,1688
2022-09-30,6148,2188
2022-09-30,6149,2632
2022-09-30,6152,1836
2022-09-30,6153,1697
2022-09-30,6154,2414
2022-09-30,6155,2221
2022-09-30,6156,1328
2022-09-30,6157,790
2022-09-30,6158,3581
2022-09-30,6159,2731
2022-09-30,6161,1426
2022-09-30,6162,765
2022-09-30,6165,413
2022-09-30,6166,721
2022-09-30,6167,7162
2022-09-30,6168,3586
2022-09-30,6169,5635
2022-09-30,6170,2058
2022-09-30,6171,3380
2022-09-30,6173,8436
2022-09-30,6175,5048
2022-09-30,6176,1555
2022-09-30,6177,1526
2022-09-30,6179,3188
2022-09-30,6180,2679
2022-09-30,6181,2115
2022-09-30,6182,1461
2022-09-30,6183,2241
2022-09-30,6184,1169
2022-09-30,6185,837
2022-09-30,6186,597
2022-09-30,6187,700
2022-09-30,6188,564
2022-09-30,6189,1104
2022-09-30,6190,1216
2022-09-30,6191,689
2022-09-30,6192,1133
2022-09-30,6193,759
2022-09-30,6196.0,1097
2022-09-30,6197.0,806
2022-09-30,6198.0,670
2022-09-30,6199.0,2183
2022-09-30,6200.0,668
2022-09-30,6201.0,1276
2022-09-30,6203.0,1167
2022-09-30,6205.0,1104
2022-09-30,6206.0,1084
2022-09-30,6207.0,1322
2022-09-30,6208.0,2025
2022-09-30,6210.0,2518
2022-09-30,6211.0,1517
2022-09-30,6213.0,2729
2022-09-30,6216.0,6473
2022-09-30,6217.0,1767
2022-09-30,6218.0,1931
2022-09-30,6219.0,3019
2022-09-30,6220.0,1855
2022-09-30,6221.0,4779
2022-09-30,6224.0,1712
2022-09-30,6225.0,702
2022-09-30,6226.0,1261
2022-09-30,6227.0,1003
2022-09-30,6229.0,1802
2022-09-30,6230.0,993
2022-09-30,6232.0,1887
2022-09-30,6233.0,1322
2022-09-30,6235.0,1022
2022-09-30,6236.0,696
2022-09-30,6237.0,731
2022-09-30,6240.0,5805
2022-09-30,6241.0,4329
2022-09-30,6243.0,4884
2022-09-30,6245.0,4143
2022-09-30,6246.0,8641
2022-09-30,6247.0,3405
2022-09-30,6248.0,2457
2022-09-30,6249.0,3703
2022-09-30,6251.0,3546
2022-09-30,6252.0,2525
2022-09-30,6253.0,4219
2022-09-30,6254.0,3401
2022-09-30,6255.0,4197
2022-09-30,6257.0,2529
2022-09-30,6258.0,2694
2022-09-30,6259.0,2553
2022-09-30,6260.0,13373
2022-09-30,6261.0,2194
2022-09-30,6262.0,2420
2022-09-30,6263.0,2844
2022-09-30,6265.0,5471
2022-09-30,6266.0,2579
2022-09-30,6267.0,2278
2022-09-30,6268.0,2039
2022-09-30,6269.0,4446
