date,start_station_code,total_count
2022-11-30,5002.0,492
2022-11-30,5003.0,153
2022-11-30,5004.0,338
2022-11-30,5006.0,691
2022-11-30,5007.0,169
2022-11-30,6009.0,37
2022-11-30,6013.0,463
2022-11-30,6017.0,196
2022-11-30,6021.0,105
2022-11-30,6022.0,293
2022-11-30,6039.0,928
2022-11-30,6044.0,1177
2022-11-30,6066.0,194
2022-11-30,6068.0,187
2022-11-30,6083.0,103
2022-11-30,6088.0,191
2022-11-30,6089.0,36
2022-11-30,6090.0,34
2022-11-30,6093.0,309
2022-11-30,6094.0,233
2022-11-30,6095.0,1580
2022-11-30,6097.0,272
2022-11-30,6100.0,287
2022-11-30,6103.0,897
2022-11-30,6110.0,594
2022-11-30,6111.0,414
2022-11-30,6134.0,900
2022-11-30,6136.0,804
2022-11-30,6138.0,331
2022-11-30,6140.0,539
2022-11-30,6141.0,349
2022-11-30,6142.0,285
2022-11-30,6143.0,449
2022-11-30,6145.0,1361
2022-11-30,6146.0,955
2022-11-30,6147.0,620
2022-11-30,6148.0,795
2022-11-30,6149.0,1010
2022-11-30,6152.0,594
2022-11-30,6153.0,578
2022-11-30,6154.0,813
2022-11-30,6155.0,770
2022-11-30,6156.0,414
2022-11-30,6157.0,202
2022-11-30,6158.0,1121
2022-11-30,6159.0,815
2022-11-30,6161.0,540
2022-11-30,6162.0,284
2022-11-30,6165.0,121
2022-11-30,6166.0,209
2022-11-30,6167.0,2342
2022-11-30,6168.0,867
2022-11-30,6169.0,1990
2022-11-30,6170.0,695
2022-11-30,6171.0,1099
2022-11-30,6173.0,3082
2022-11-30,6176.0,576
2022-11-30,6177.0,706
2022-11-30,6179.0,1141
2022-11-30,6180.0,1005
2022-11-30,6181.0,900
2022-11-30,6182.0,447
2022-11-30,6183.0,892
2022-11-30,6184.0,575
2022-11-30,6185.0,164
2022-11-30,6186.0,115
2022-11-30,6187.0,166
2022-11-30,6188.0,170
2022-11-30,6189.0,375
2022-11-30,6190.0,307
2022-11-30,6191.0,229
2022-11-30,6192.0,340
2022-11-30,6193.0,251
2022-11-30,6196.0,332
2022-11-30,6197.0,260
2022-11-30,6198.0,570
2022-11-30,6199.0,732
2022-11-30,6200.0,500
2022-11-30,6201.0,430
2022-11-30,6203.0,378
2022-11-30,6205.0,312
2022-11-30,6206.0,341
2022-11-30,6207.0,410
2022-11-30,6208.0,632
2022-11-30,6210.0,863
2022-11-30,6211.0,532
2022-11-30,6213.0,781
2022-11-30,6216.0,1453
2022-11-30,6217.0,618
2022-11-30,6218.0,339
2022-11-30,6219.0,1459
2022-11-30,6220.0,599
2022-11-30,6221.0,1647
2022-11-30,6224.0,646
2022-11-30,6225.0,203
2022-11-30,6226.0,410
2022-11-30,6227.0,295
2022-11-30,6229.0,492
2022-11-30,6230.0,327
2022-11-30,6232.0,630
2022-11-30,6233.0,516
2022-11-30,6235.0,293
2022-11-30,6236.0,224
2022-11-30,6237.0,211
2022-11-30,6240.0,1709
2022-11-30,6241.0,1211
2022-11-30,6243.0,1646
2022-11-30,6245.0,1698
2022-11-30,6246.0,3005
