date,start_station_code,total_count,member_count,non_member_count
2022-04-30,4002.0,440,391,49
2022-04-30,5002.0,324,260,64
2022-04-30,5003.0,128,107,21
2022-04-30,5004.0,334,292,42
2022-04-30,5006.0,791,604,187
2022-04-30,5007.0,168,129,39
2022-04-30,6009.0,17,12,5
2022-04-30,6013.0,413,355,58
2022-04-30,6017.0,151,130,21
2022-04-30,6021.0,284,205,79
2022-04-30,6022.0,193,170,23
2022-04-30,6039.0,933,814,119
2022-04-30,6044.0,918,741,177
2022-04-30,6048.0,1527,1243,284
2022-04-30,6066.0,332,272,60
2022-04-30,6068.0,99,94,5
2022-04-30,6083.0,105,79,26
2022-04-30,6087.0,356,316,40
2022-04-30,6088.0,202,171,31
2022-04-30,6089.0,28,20,8
2022-04-30,6090.0,51,33,18
2022-04-30,6093.0,145,126,19
2022-04-30,6094.0,229,203,26
2022-04-30,6095.0,1094,968,126
2022-04-30,6097.0,215,178,37
2022-04-30,6103.0,733,654,79
2022-04-30,6110.0,362,328,34
2022-04-30,6111.0,363,315,48
2022-04-30,6134.0,743,638,105
2022-04-30,6136.0,632,569,63
2022-04-30,6138.0,282,251,31
2022-04-30,6140.0,454,398,56
2022-04-30,6141.0,339,295,44
2022-04-30,6142.0,315,281,34
2022-04-30,6143.0,391,361,30
2022-04-30,6145.0,1145,1010,135
2022-04-30,6146.0,546,491,55
2022-04-30,6147.0,473,421,52
2022-04-30,6148.0,646,561,85
2022-04-30,6149.0,708,618,90
2022-04-30,6152.0,430,386,44
2022-04-30,6153.0,590,523,67
2022-04-30,6154.0,687,607,80
2022-04-30,6155.0,529,461,68
2022-04-30,6156.0,341,295,46
2022-04-30,6157.0,214,186,28
2022-04-30,6158.0,981,880,101
2022-04-30,6159.0,633,570,63
2022-04-30,6161.0,394,345,49
2022-04-30,6162.0,206,186,20
2022-04-30,6164.0,289,254,35
2022-04-30,6165.0,91,70,21
2022-04-30,6166.0,198,179,19
2022-04-30,6167.0,1907,1617,290
2022-04-30,6168.0,21,18,3
2022-04-30,6169.0,1714,1505,209
2022-04-30,6170.0,807,722,85
2022-04-30,6171.0,983,847,136
2022-04-30,6173.0,2387,2094,293
2022-04-30,6175.0,1232,1105,127
2022-04-30,6176.0,30,22,8
2022-04-30,6177.0,580,491,89
2022-04-30,6179.0,839,763,76
2022-04-30,6180.0,816,718,98
2022-04-30,6181.0,645,573,72
2022-04-30,6182.0,434,380,54
2022-04-30,6183.0,569,483,86
2022-04-30,6184.0,354,315,39
2022-04-30,6185.0,298,210,88
2022-04-30,6186.0,156,130,26
2022-04-30,6187.0,179,156,23
2022-04-30,6188.0,178,161,17
2022-04-30,6189.0,326,299,27
2022-04-30,6190.0,297,270,27
2022-04-30,6191.0,194,170,24
2022-04-30,6192.0,304,262,42
2022-04-30,6193.0,221,191,30
2022-04-30,6196.0,274,257,17
2022-04-30,6197.0,216,202,14
2022-04-30,6198.0,457,400,57
2022-04-30,6199.0,546,496,50
2022-04-30,6200.0,481,419,62
2022-04-30,6201.0,369,323,46
2022-04-30,6203.0,188,152,36
2022-04-30,6205.0,326,294,32
2022-04-30,6206.0,362,326,36
2022-04-30,6207.0,455,414,41
2022-04-30,6208.0,544,463,81
2022-04-30,6209.0,1660,1483,177
2022-04-30,6210.0,652,577,75
2022-04-30,6211.0,463,419,44
2022-04-30,6213.0,697,558,139
2022-04-30,6216.0,1671,1482,189
2022-04-30,6217.0,521,464,57
2022-04-30,6218.0,518,393,125
2022-04-30,6219.0,957,856,101
2022-04-30,6220.0,409,364,45
2022-04-30,6221.0,1297,1129,168
2022-04-30,6224.0,391,354,37
2022-04-30,6225.0,198,166,32
2022-04-30,6226.0,189,161,28
2022-04-30,6227.0,255,232,23
2022-04-30,6228.0,352,304,48
2022-04-30,6230.0,293,266,27
2022-04-30,6231.0,219,189,30
2022-04-30,6232.0,410,336,74
2022-04-30,6233.0,461,419,42
2022-04-30,6235.0,266,228,38
2022-04-30,6236.0,208,179,29
2022-04-30,6237.0,133,114,19
2022-04-30,6240.0,1377,1106,271
2022-04-30,6241.0,911,772,139
2022-04-30,6243.0,1479,1256,223
2022-04-30,6245.0,1077,915,162
2022-04-30,6246.0,2136,1815,321
2022-04-30,6247.0,891,741,150
2022-04-30,6248.0,731,597,134
2022-04-30,6249.0,827,731,96
2022-04-30,6251.0,993,867,126
2022-04-30,6252.0,640,588,52
2022-04-30,6253.0,1126,949,177
2022-04-30,6254.0,990,797,193
2022-04-30,6255.0,1065,907,158
2022-04-30,6257.0,729,636,93
2022-04-30,6258.0,785,666,119
2022-04-30,6259.0,746,652,94
2022-04-30,6260.0,2989,2576,413
2022-04-30,6261.0,730,647,83
2022-04-30,6262.0,730,587,143
2022-04-30,6263.0,874,752,122
2022-04-30,6264.0,703,591,112
2022-04-30,6265.0,1182,1004,178
2022-04-30,6266.0,732,657,75
2022-04-30,6267.0,718,613,105
2022-04-30,6268.0,923,857,66
2022-04-30,6269.0,1154,1020,134
2022-04-30,6270.0,873,778,95
2022-04-30,6271.0,743,653,90
2022-04-30,6272.0,636,555,81
2022-04-30,6275.0,977,787,190
2022-04-30,6276.0,870,742,128
2022-04-30,6277.0,1029,940,89
2022-04-30,6278.0,1285,1136,149
2022-04-30,6279.0,543,458,85
2022-04-30,6280.0,326,295,31
2022-04-30,6281.0,684,583,101
2022-04-30,6301.0,309,246,63
2022-04-30,6304.0,667,523,144
2022-04-30,6305.0,445,379,66
2022-04-30,6306.0,540,382,158
2022-04-30,6307.0,1663,1361,302
2022-04-30,6309.0,1465,1186,279
2022-04-30,6310.0,1003,818,185
2022-04-30,6311.0,1266,1054,212
2022-04-30,6312.0,308,248,60
2022-04-30,6313.0,1466,1192,274
2022-04-30,6314.0,2486,2007,479
2022-04-30,6315.0,1204,957,247
2022-04-30,6316.0,1119,906,213
2022-04-30,6321.0,484,402,82
2022-04-30,6322.0,190,170,20
2022-04-30,6323.0,1540,1339,201
2022-04-30,6324.0,219,177,42
2022-04-30,6327.0,645,526,119
2022-04-30,6328.0,645,567,78
2022-04-30,6329.0,1666,1344,322
2022-04-30,6331.0,1698,1380,318
2022-04-30,6332.0,653,577,76
2022-04-30,6333.0,1456,1199,257
2022-04-30,6334.0,1511,1233,278
2022-04-30,6335.0,1069,881,188
2022-04-30,6336.0,319,262,57
2022-04-30,6338.0,177,160,17
2022-04-30,6339.0,252,216,36
2022-04-30,6340.0,252,206,46
2022-04-30,6343.0,226,202,24
2022-04-30,6344.0,418,321,97
2022-04-30,6346.0,148,130,18
2022-04-30,6347.0,412,358,54
2022-04-30,6349.0,275,251,24
2022-04-30,6350.0,351,298,53
2022-04-30,6354.0,412,362,50
2022-04-30,6355.0,1839,1541,298
2022-04-30,6356.0,294,233,61
2022-04-30,6357.0,190,153,37
2022-04-30,6358.0,1067,913,154
2022-04-30,6359.0,758,632,126
2022-04-30,6360.0,311,281,30
2022-04-30,6361.0,1036,834,202
2022-04-30,6362.0,334,286,48
2022-04-30,6364.0,802,642,160
2022-04-30,6366.0,1463,1247,216
2022-04-30,6367.0,730,600,130
2022-04-30,6369.0,454,391,63
2022-04-30,6370.0,430,352,78
2022-04-30,6371.0,354,312,42
2022-04-30,6372.0,810,670,140
2022-04-30,6373.0,573,450,123
2022-04-30,6374.0,683,584,99
2022-04-30,6375.0,696,596,100
2022-04-30,6377.0,1448,1189,259
2022-04-30,6379.0,254,206,48
2022-04-30,6380.0,533,430,103
2022-04-30,6381.0,659,525,134
2022-04-30,6384.0,282,236,46
2022-04-30,6386.0,491,425,66
2022-04-30,6387.0,1345,1107,238
2022-04-30,6388.0,743,603,140
2022-04-30,6389.0,645,546,99
2022-04-30,6391.0,550,454,96
2022-04-30,6393.0,799,688,111
2022-04-30,6394.0,1011,832,179
2022-04-30,6395.0,550,481,69
2022-04-30,6396.0,1355,1082,273
2022-04-30,6397.0,1707,1349,358
2022-04-30,6398.0,1012,792,220
2022-04-30,6402.0,616,576,40
2022-04-30,6403.0,293,241,52
2022-04-30,6404.0,410,361,49
2022-04-30,6405.0,219,192,27
2022-04-30,6406.0,301,275,26
2022-04-30,6407.0,315,281,34
2022-04-30,6411.0,891,746,145
2022-04-30,6412.0,693,582,111
2022-04-30,6414.0,1049,889,160
2022-04-30,6415.0,617,523,94
2022-04-30,6416.0,359,310,49
2022-04-30,6417.0,759,648,111
2022-04-30,6418.0,257,217,40
2022-04-30,6419.0,261,210,51
2022-04-30,6420.0,404,337,67
2022-04-30,6422.0,389,347,42
2022-04-30,6423.0,1011,786,225
2022-04-30,6425.0,1071,880,191
2022-04-30,6426.0,802,653,149
2022-04-30,6427.0,509,417,92
2022-04-30,6429.0,1093,864,229
2022-04-30,6432.0,428,372,56
2022-04-30,6433.0,293,234,59
2022-04-30,6434.0,268,238,30
2022-04-30,6435.0,497,441,56
2022-04-30,6436.0,290,253,37
2022-04-30,6501.0,304,243,61
2022-04-30,6502.0,631,515,116
2022-04-30,6503.0,274,182,92
2022-04-30,6504.0,241,214,27
2022-04-30,6701.0,358,314,44
2022-04-30,6702.0,326,290,36
2022-04-30,6705.0,629,510,119
2022-04-30,6707.0,269,218,51
2022-04-30,6708.0,246,206,40
