date,start_station_code,total_count,member_count,non_member_count
2022-08-31,4002.0,1601,1425,176
2022-08-31,5002.0,1611,1294,317
2022-08-31,5003.0,747,620,127
2022-08-31,5004.0,1429,1190,239
2022-08-31,5006.0,3908,2971,937
2022-08-31,5007.0,935,745,190
2022-08-31,6009,267,225,42
2022-08-31,6013,2184,1850,334
2022-08-31,6017,706,582,124
2022-08-31,6021.0,1542,1096,446
2022-08-31,6022,1024,866,158
2022-08-31,6039,4731,4164,567
2022-08-31,6044,3243,2799,444
2022-08-31,6066.0,1561,1136,425
2022-08-31,6068,567,513,54
2022-08-31,6083,477,357,120
2022-08-31,6088.0,1899,1538,361
2022-08-31,6089,136,104,32
2022-08-31,6090,238,189,49
2022-08-31,6093,943,831,112
2022-08-31,6094,977,851,126
2022-08-31,6095,5669,4933,736
2022-08-31,6097,862,702,160
2022-08-31,6100,895,805,90
2022-08-31,6103,2863,2519,344
2022-08-31,6110,1705,1492,213
2022-08-31,6111,1851,1656,195
2022-08-31,6134,2580,2197,383
2022-08-31,6136,3489,3005,484
2022-08-31,6138,1250,1089,161
2022-08-31,6140,2155,1917,238
2022-08-31,6141,1346,1192,154
2022-08-31,6142,1145,1012,133
2022-08-31,6143,1308,1186,122
2022-08-31,6145,4295,3752,543
2022-08-31,6146,2563,2204,359
2022-08-31,6147,1819,1631,188
2022-08-31,6148,2098,1779,319
2022-08-31,6149,2852,2412,440
2022-08-31,6152,1891,1716,175
2022-08-31,6153,2228,1861,367
2022-08-31,6154,2931,2552,379
2022-08-31,6155,2595,2304,291
2022-08-31,6156,1648,1395,253
2022-08-31,6157,967,849,118
2022-08-31,6158,4466,3936,530
2022-08-31,6159,3043,2689,354
2022-08-31,6161,1399,1224,175
2022-08-31,6162,893,799,94
2022-08-31,6164,592,511,81
2022-08-31,6165,548,495,53
2022-08-31,6166,842,746,96
2022-08-31,6167,8849,7538,1311
2022-08-31,6168,4440,3650,790
2022-08-31,6169,7276,5996,1280
2022-08-31,6170,2132,1854,278
2022-08-31,6171,3488,3079,409
2022-08-31,6173,9502,8390,1112
2022-08-31,6175,6170,5310,860
2022-08-31,6176,1640,1449,191
2022-08-31,6177,1531,1324,207
2022-08-31,6179,4188,3683,505
2022-08-31,6180,2926,2506,420
2022-08-31,6181,2332,2001,331
2022-08-31,6182,1698,1413,285
2022-08-31,6183,2322,1967,355
2022-08-31,6184,1378,1229,149
2022-08-31,6185,1097,833,264
2022-08-31,6186,737,615,122
2022-08-31,6187,1317,1105,212
2022-08-31,6188,692,605,87
2022-08-31,6189,1394,1256,138
2022-08-31,6190,1450,1303,147
2022-08-31,6191,823,738,85
2022-08-31,6192,1420,1267,153
2022-08-31,6193,1098,955,143
2022-08-31,6196,1239,1057,182
2022-08-31,6197,840,757,83
2022-08-31,6199,2577,2291,286
2022-08-31,6201,1459,1232,227
2022-08-31,6203,1468,1239,229
2022-08-31,6205,1305,1132,173
2022-08-31,6206,1407,1246,161
2022-08-31,6207,1346,1189,157
2022-08-31,6208,2410,2087,323
2022-08-31,6209,49,43,6
2022-08-31,6210,2715,2390,325
2022-08-31,6211,1465,1290,175
2022-08-31,6213,3634,3098,536
2022-08-31,6216,8503,7375,1128
2022-08-31,6217,1729,1488,241
2022-08-31,6218.0,2736,2004,732
2022-08-31,6219,3503,3031,472
2022-08-31,6220,2167,1815,352
2022-08-31,6221,5177,4369,808
2022-08-31,6224,1636,1431,205
2022-08-31,6225.0,822,690,132
2022-08-31,6226.0,985,875,110
2022-08-31,6227.0,1151,1024,127
2022-08-31,6229.0,1793,1553,240
2022-08-31,6230.0,1156,989,167
2022-08-31,6232.0,2331,1977,354
2022-08-31,6233.0,1637,1468,169
2022-08-31,6235.0,1246,1068,178
2022-08-31,6236.0,683,580,103
2022-08-31,6237.0,705,580,125
2022-08-31,6240.0,6211,4944,1267
2022-08-31,6241.0,4257,3513,744
2022-08-31,6243.0,5233,4326,907
2022-08-31,6245.0,3708,3039,669
2022-08-31,6246.0,9163,7856,1307
2022-08-31,6247.0,3518,2922,596
2022-08-31,6248.0,2281,1902,379
2022-08-31,6249.0,3690,3137,553
2022-08-31,6251.0,3636,3135,501
2022-08-31,6252.0,3029,2544,485
2022-08-31,6253.0,4729,3929,800
2022-08-31,6254.0,3749,3081,668
2022-08-31,6255.0,4418,3687,731
2022-08-31,6257.0,2689,2313,376
2022-08-31,6258.0,3310,2763,547
2022-08-31,6259.0,2812,2363,449
2022-08-31,6260.0,15356,13083,2273
2022-08-31,6261.0,2397,2037,360
2022-08-31,6262.0,3282,2682,600
2022-08-31,6263.0,3447,2992,455
2022-08-31,6265.0,6222,5149,1073
2022-08-31,6266.0,2552,2170,382
2022-08-31,6267.0,2368,2025,343
2022-08-31,6268.0,2419,2165,254
2022-08-31,6269.0,5172,4424,748
2022-08-31,6270.0,2916,2579,337
2022-08-31,6271.0,2261,1958,303
2022-08-31,6272.0,1667,1477,190
2022-08-31,6276.0,5459,4343,1116
2022-08-31,6277.0,4066,3542,524
2022-08-31,6278.0,5321,4620,701
2022-08-31,6279.0,3920,3317,603
2022-08-31,6280.0,1612,1423,189
2022-08-31,6281.0,2492,2079,413
2022-08-31,6301.0,1293,1046,247
2022-08-31,6305.0,2001,1639,362
2022-08-31,6306.0,2498,1785,713
2022-08-31,6307.0,5417,4714,703
2022-08-31,6309.0,4532,3894,638
2022-08-31,6310.0,3542,3141,401
2022-08-31,6311.0,4702,4040,662
2022-08-31,6312.0,3739,3178,561
2022-08-31,6313.0,4771,4113,658
2022-08-31,6314.0,6755,5876,879
2022-08-31,6315.0,2344,1807,537
2022-08-31,6316.0,3414,2894,520
2022-08-31,6321.0,1576,1303,273
2022-08-31,6322.0,863,767,96
2022-08-31,6323.0,2286,1952,334
2022-08-31,6324.0,1194,985,209
2022-08-31,6327.0,2336,1912,424
2022-08-31,6328.0,2583,2163,420
2022-08-31,6329.0,5620,4557,1063
2022-08-31,6331.0,6334,5170,1164
2022-08-31,6332.0,2090,1708,382
2022-08-31,6333.0,5213,4355,858
2022-08-31,6334.0,6299,5261,1038
2022-08-31,6335.0,3994,3316,678
2022-08-31,6336.0,1415,1215,200
2022-08-31,6338.0,937,832,105
2022-08-31,6339.0,1507,1363,144
2022-08-31,6340.0,1340,1151,189
2022-08-31,6343.0,1156,981,175
2022-08-31,6344.0,2487,1831,656
2022-08-31,6346.0,808,687,121
2022-08-31,6347.0,1077,927,150
2022-08-31,6349.0,1129,961,168
2022-08-31,6350.0,1090,918,172
2022-08-31,6354.0,1752,1558,194
2022-08-31,6355.0,8472,7539,933
2022-08-31,6356.0,1194,993,201
2022-08-31,6357.0,988,854,134
2022-08-31,6358.0,4449,4005,444
2022-08-31,6359.0,3374,2959,415
2022-08-31,6360.0,1341,1188,153
2022-08-31,6361.0,4348,3813,535
2022-08-31,6362.0,1091,909,182
2022-08-31,6364.0,3368,2866,502
2022-08-31,6366.0,5648,4771,877
2022-08-31,6369.0,2736,2428,308
2022-08-31,6370.0,1323,1177,146
2022-08-31,6371.0,1528,1341,187
2022-08-31,6372.0,2615,2319,296
2022-08-31,6373.0,1999,1765,234
2022-08-31,6374.0,3119,2763,356
2022-08-31,6375.0,3027,2638,389
2022-08-31,6377.0,5180,4430,750
2022-08-31,6379.0,1611,1310,301
2022-08-31,6380.0,1803,1495,308
2022-08-31,6381.0,2111,1755,356
2022-08-31,6384.0,1469,1205,264
2022-08-31,6386.0,2258,1879,379
2022-08-31,6387.0,5673,4684,989
2022-08-31,6388.0,2062,1749,313
2022-08-31,6389.0,1839,1528,311
2022-08-31,6391.0,1112,984,128
2022-08-31,6393.0,2042,1697,345
2022-08-31,6394.0,3669,3125,544
2022-08-31,6395.0,2655,2233,422
2022-08-31,6396.0,7128,5973,1155
2022-08-31,6397.0,7628,5913,1715
